REGIÃO;UF;DESTINATARIO;LOCALIDADE;ITEM;PROGRAMA DE SAÚDE;QUANTIDADE;STATUS;DATA DE ENTREGA
NORTE;AMAZONAS;SES;AMAZONAS ;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;30.000;ENTREGA REALIZADA;06/02/2020
NORTE;AMAZONAS;SES;AMAZONAS ;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;60.000;ENTREGA REALIZADA;28/04/2020
NORTE;AMAZONAS;SMS;MANAUS;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;70.000;ENTREGA REALIZADA;30/04/2020
NORTE;AMAZONAS;SES;AMAZONAS ;FOSFATO DE OSELTAMIVIR 45MG;INFLUENZA;5.000;ENTREGA REALIZADA;22/01/2020
NORTE;AMAZONAS;SES;AMAZONAS ;FOSFATO DE OSELTAMIVIR 45MG;INFLUENZA;2.000;ENTREGA REALIZADA;25/02/2020
NORTE;AMAZONAS;SES;AMAZONAS ;FOSFATO DE OSELTAMIVIR 45MG;INFLUENZA;20.000;ENTREGA REALIZADA;03/04/2020
NORTE;AMAZONAS;SES;AMAZONAS ;FOSFATO DE OSELTAMIVIR 30MG ;INFLUENZA;4.000;ENTREGA REALIZADA;03/04/2020
NORTE;AMAZONAS;SES;AMAZONAS ;FOSFATO DE OSELTAMIVIR 30MG ;INFLUENZA;36.500;ENTREGA REALIZADA;13/04/2020
NORTE;AMAZONAS;SES;AMAZONAS ;FOSFATO DE OSELTAMIVIR 30MG ;INFLUENZA;10.000;ENTREGA REALIZADA;13/04/2020
NORTE;AMAZONAS;SES;AMAZONAS ;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;40.000;ENTREGA REALIZADA ;05/08/2020
NORTE;AMAZONAS;SMS;MANAUS;FOSFATO DE OSELTAMIVIR 45MG;INFLUENZA;1.000;ENTREGA REALIZADA;31/07/2020
NORTE;AMAZONAS;SMS;MANAUS;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;20.000;ENTREGA REALIZADA;31/07/2020
NORTE;AMAZONAS;SES;AMAZONAS ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;11.000;ENTREGA REALIZADA;31/03/2020
NORTE;AMAZONAS;SES;AMAZONAS ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;50.000;ENTREGA REALIZADA;16/04/2020
NORTE;AMAZONAS;SES;AMAZONAS ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;110.000;ENTREGA REALIZADA;04/05/2020
NORTE;AMAZONAS;SES;AMAZONAS ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;200.000;ENTREGA REALIZADA;04/06/2020
NORTE;AMAZONAS;SMS;MANAUS;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;10.000;ENTREGA REALIZADA;28/07/2020
NORDESTE;BAHIA;SES;BAHIA ;FOSFATO DE OSELTAMIVIR 45MG;INFLUENZA;8.500;ENTREGA REALIZADA;04/08/2020
NORDESTE;BAHIA;SES;BAHIA ;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;31.000;ENTREGA REALIZADA;04/08/2020
NORDESTE;BAHIA;SMS;SALVADOR ;FOSFATO DE OSELTAMIVIR 45MG;INFLUENZA;1.000;ENTREGA REALIZADA;31/07/2020
NORDESTE;BAHIA;SMS;SALVADOR ;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;1.500;ENTREGA REALIZADA;31/07/2020
NORDESTE;BAHIA ;SAÚDE INDÍGENA;DSEI BAHIA;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;5.000;ENTREGA REALIZADA;27/04/2020
NORDESTE;BAHIA ;SAÚDE INDÍGENA;DSEI BAHIA;FOSFATO DE OSELTAMIVIR 30MG ;INFLUENZA;6.500;ENTREGA REALIZADA;22/04/2020
NORDESTE;BAHIA ;SAÚDE INDÍGENA;DSEI BAHIA;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;6.500;ENTREGA REALIZADA;30/06/2020
NORDESTE;BAHIA ;SMS;PORTO SEGURO ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;40.000;ENTREGA REALIZADA;29/06/2020
NORDESTE;BAHIA ;SMS;SALVADOR;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;3.000;ENTREGA REALIZADA ;02/07/2020
NORDESTE;BAHIA ;SES;BAHIA ;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;28.000;ENTREGA REALIZADA;26/06/2020
NORDESTE;BAHIA ;SES;BAHIA ;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;35.000;ENTREGA REALIZADA;23/03/2020
NORDESTE;BAHIA ;SES;BAHIA ;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;23.000;ENTREGA REALIZADA;06/04/2020
NORDESTE;BAHIA ;SES;BAHIA ;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;30.000;ENTREGA REALIZADA;13/05/2020
NORDESTE;BAHIA ;SES;BAHIA ;FOSFATO DE OSELTAMIVIR 45MG;INFLUENZA;4.500;ENTREGA REALIZADA;24/01/2020
NORDESTE;BAHIA ;SES;BAHIA ;FOSFATO DE OSELTAMIVIR 45MG;INFLUENZA;10.500;ENTREGA REALIZADA;23/03/2020
NORDESTE;BAHIA ;SES;BAHIA ;FOSFATO DE OSELTAMIVIR 45MG;INFLUENZA;13.000;ENTREGA REALIZADA;13/04/2020
NORDESTE;BAHIA ;SES;BAHIA ;FOSFATO DE OSELTAMIVIR 30MG ;INFLUENZA;14.310;ENTREGA REALIZADA;24/01/2020
NORDESTE;BAHIA ;SES;BAHIA ;FOSFATO DE OSELTAMIVIR 30MG ;INFLUENZA;20.290;ENTREGA REALIZADA;23/03/2020
NORDESTE;BAHIA ;SES;BAHIA ;FOSFATO DE OSELTAMIVIR 30MG ;INFLUENZA;6.570;ENTREGA REALIZADA;06/04/2020
NORDESTE;BAHIA ;SES;BAHIA ;FOSFATO DE OSELTAMIVIR 30MG ;INFLUENZA;8.000;ENTREGA REALIZADA;13/05/2020
NORDESTE;BAHIA ;SES;BAHIA ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;17.000;ENTREGA REALIZADA;30/03/2020
NORDESTE;BAHIA ;SES;BAHIA ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;24.000;ENTREGA REALIZADA;27/04/2020
NORDESTE;CEARÁ;SES;CEARÁ;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;30.000;ENTREGA REALIZADA;11/08/2020
NORDESTE;CEARÁ;SMS;FORTALEZA;FOSFATO DE OSELTAMIVIR 45MG;INFLUENZA;1.500;ENTREGA REALIZADA;05/08/2020
NORDESTE;CEARÁ;SAÚDE INDÍGENA;DSEI CEARÁ ;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;4.000;ENTREGA REALIZADA;26/06/2020
NORDESTE;CEARÁ;SAÚDE INDÍGENA;DSEI CEARÁ ;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;2.000;ENTREGA REALIZADA;06/05/2020
NORDESTE;CEARÁ;SAÚDE INDÍGENA;DSEI CEARÁ ;FOSFATO DE OSELTAMIVIR 45MG;INFLUENZA;2.000;ENTREGA REALIZADA;15/04/2020
NORDESTE;CEARÁ;SAÚDE INDÍGENA;DSEI CEARÁ ;FOSFATO DE OSELTAMIVIR 30MG ;INFLUENZA;2.000;ENTREGA REALIZADA;26/06/2020
NORDESTE;CEARÁ;SAÚDE INDÍGENA;DSEI CEARÁ ;FOSFATO DE OSELTAMIVIR 30MG ;INFLUENZA;2.000;ENTREGA REALIZADA;15/04/2020
NORDESTE;CEARÁ;SMS;FORTALEZA;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;40.000;ENTREGA REALIZADA;26/06/2020
NORDESTE;CEARÁ;SES;CEARÁ;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;30.000;ENTREGA REALIZADA;26/06/2020
NORDESTE;CEARÁ;SMS;FORTALEZA;FOSFATO DE OSELTAMIVIR 30MG ;INFLUENZA;7.200;ENTREGA REALIZADA;26/06/2020
NORDESTE;CEARÁ;SES;CEARÁ;FOSFATO DE OSELTAMIVIR 30MG ;INFLUENZA;8.300;ENTREGA REALIZADA;26/06/2020
NORDESTE;CEARÁ;SES;CEARÁ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;50.000;ENTREGA REALIZADA;24/07/2020
